SEVERITY,ID,OCCURRED_AT,TYPE,DETECTION_QUADS,SUMMARY,CONTENT,DETECTION,ASSET_IDS,SOURCE_HOST_NAME,DESTINATION_HOST_NAME,SOURCE_IP,DESTINATION_IP,OTHER_IP,SOURCE,PACKET_CAPTURE_STATE
Low,36734,2025-03-28T14:54:56Z,Communication,Configuration,Detected 15 NewX509Certificate between 2025-03-28T14:45:57.707Z and 2025-03-28T14:54:56.456Z,"Sample NewX509Certificate values include:
  server: 20.97.190.220, 20.12.23.50, 142.250.184.195, 4.154.131.224, 3.160.150.90, 20.163.45.188, 40.69.70.68, 13.74.186.119, 20.189.173.9, 13.74.142.6;
  subject: , C=US, ST=WA, L=Redmond, O=Microsoft, OU=DSP, CN=*.prod.do.dsp.mp.microsoft.com, C=US, ST=WA, L=Redmond, O=Microsoft, OU=DSP, CN=fe2cr.update.microsoft.com, C=US, ST=Washington, L=Redmond, O=Microsoft Corporation, CN=login.live.com;
  not_before: , 2025-03-16T00:00:00Z, 2025-03-04T20:39:31Z, 2024-11-07T19:28:51Z;
  server_asset_id: 4111, 4110, 2808, 2615, 4107, 4106, 4104, 4114, 4108, 4113;
  dst__port: ('',);
  dns: ;
  uuid: b91bb837-987b-43a2-8b52-a156a058231f, a2f171bb-4453-40ca-abfd-fa839f5a05e9, 91fa61c2-2911-4be6-9a1a-4f1af98386d2, 6497950e-f3b5-46b0-b687-2b5743e15274, e13fb67a-c428-41de-a8f0-3bf3f2548ed5, 0003e30e-6ef5-4c73-b25e-c4c219cd855f, 4246147b-f108-4d54-ae6c-fd439f053950, 55e95481-c276-4f3f-b6eb-03c00ffc9f46, 00e4e171-600d-4dd8-b07e-3bf62480e017, 68711d39-e415-476a-ac5a-d39f6a3ad1ad;
  issuer: , C=US, ST=Washington, L=Redmond, O=Microsoft Corporation, CN=Microsoft ECC Content Distribution Secure Server CA 2.1, C=US, ST=Washington, L=Redmond, O=Microsoft Corporation, CN=Microsoft ECC Update Secure Server CA 2.1, C=US, O=DigiCert Inc, CN=DigiCert SHA2 Secure Server CA;
  client_asset_id: 1680, 1905, 50, 1841, 46, 1916, 1772, 1746, 1801, 1754;
  src__mac: ;
  not_after: , 2025-11-07T19:28:51Z, 2026-03-04T20:39:31Z, 2025-09-16T23:59:59Z;
  dst__mac: ;
  protocol: ;
  dst__ip: ;
  client: 10.0.1.12, 10.0.1.29, 10.0.6.29, 10.0.7.29, 10.0.4.30, 10.0.8.30, 10.0.7.12, 10.0.6.11, 10.0.7.11, 10.0.10.29;
  src__port: ('',);
  src__ip: ;",X509 Certificate First Seen,"1754,1841,1680,46,1772,1746,1916,1801,1905,50,4107,4111,4110,2808,2615,4106,4104,4114,4108,4113",,,"13.32.99.21,20.163.45.188,40.69.70.68,20.190.159.68,20.3.187.198,184.25.50.128,3.160.150.90,20.189.173.9,20.97.190.220,4.154.131.224","10.0.6.11,10.0.7.12,10.0.7.29,10.0.1.12,10.0.7.11,10.0.6.29,10.0.8.30,10.0.10.29,10.0.4.30,10.0.2.29",,"b91bb837-987b-43a2-8b52-a156a058231f, a2f171bb-4453-40ca-abfd-fa839f5a05e9, 91fa61c2-2911-4be6-9a1a-4f1af98386d2, 6497950e-f3b5-46b0-b687-2b5743e15274, e13fb67a-c428-41de-a8f0-3bf3f2548ed5, 0003e30e-6ef5-4c73-b25e-c4c219cd855f, 4246147b-f108-4d54-ae6c-fd439f053950, 55e95481-c276-4f3f-b6eb-03c00ffc9f46, 00e4e171-600d-4dd8-b07e-3bf62480e017, 68711d39-e415-476a-ac5a-d39f6a3ad1ad",
Low,36740,2025-03-28T14:54:56Z,Asset,Configuration,Detected 19 NewUserAgent between 2025-03-28T14:45:14.327Z and 2025-03-28T14:54:56.478Z,"Sample NewUserAgent values include:
  dst__port: ('',);
  uuid: 03d27bee-7c90-497b-956e-2ccfdf2d3776, 0a059ae3-60e4-41b2-a23e-c5281d9c7bae, 192f2110-36cc-456d-93ad-7d4a96502513, 024e851a-4fa8-49b0-9d12-c0ed966bb462, 0008335e-1627-45d3-9754-28637665152d, 07317a54-fedf-4e94-b299-8f22abc87ef4, 0034a611-d016-44e8-96ae-172c793f333f, 0484cd27-ed2f-4fdf-bf60-90e9c90932aa, c2e29799-470f-42ae-b022-2a6420d8f07f, 1aaac9d8-9dd3-49e5-b8cc-2b2e22c6c6e1;
  src__mac: ;
  src_ip: 10.0.1.12, 10.0.1.29, 10.0.6.29, 10.0.7.29, 10.0.7.12, 10.0.6.12, 10.0.2.11, 10.0.1.11, 10.0.2.29;
  dst__mac: ;
  protocol: ;
  src_asset_id: 1680, 45, 48, 1841, 50, 46, 1746, 1810, 44;
  dst__ip: ;
  src__port: ('',);
  user_agent: Microsoft-Delivery-Optimization/10.0, Microsoft BITS/7.8, Microsoft Edge Update/1.3.195.45;winhttp, Microsoft-CryptoAPI/10.0, Windows-Update-Agent/10.0.10011.16384 Client-Protocol/2.51;
  src__ip: ;",User Agent First Seen,"1841,1810,1680,46,44,1746,45,48,50",,,,,"10.0.7.12,10.0.6.12,10.0.7.29,10.0.1.12,10.0.1.29,10.0.6.29,10.0.1.11,10.0.2.11,10.0.2.29","03d27bee-7c90-497b-956e-2ccfdf2d3776, 0a059ae3-60e4-41b2-a23e-c5281d9c7bae, 192f2110-36cc-456d-93ad-7d4a96502513, 024e851a-4fa8-49b0-9d12-c0ed966bb462, 0008335e-1627-45d3-9754-28637665152d, 07317a54-fedf-4e94-b299-8f22abc87ef4, 0034a611-d016-44e8-96ae-172c793f333f, 0484cd27-ed2f-4fdf-bf60-90e9c90932aa, c2e29799-470f-42ae-b022-2a6420d8f07f, 1aaac9d8-9dd3-49e5-b8cc-2b2e22c6c6e1",
Low,37464,2025-03-28T15:12:57Z,Communication,Configuration,Detected 25 NewSourceEth between 2025-03-28T15:09:33.131Z and 2025-03-28T15:12:57.369Z,"Sample NewSourceEth values include:
  dst__port: ('',);
  midpointId: 4d06bebb-d788-430a-a723-e06a652f5854, c1a36162-4109-4ff6-8876-83a226e3d512, 2c56c702-d67a-425b-909c-c2dbcfe5cbb4;
  uuid: 0fb8a0c8-4fa8-4b93-b906-4e1f93be77f4, 1372b035-70a2-48eb-a20f-91c170158cac, 03085d02-941b-4854-9c09-ad6ced138369, 1817767a-a285-4d7e-8302-deb06b22d673, 07852700-1db8-4734-88e4-fb092828c1c6, 94719d1f-bfe5-4913-b8f1-544f18d6f6de, 165c0848-7f94-4cef-a4b1-def475b8e285, 69e8fd75-f79b-4d4f-8f43-2a76c139d317, 02946855-e642-469f-96b5-f1f6f1e6f4ce, 400540c2-3759-4916-a2bc-fa2b00711f43;
  eth_src_asset_id: ('4135', '4121', '4122', '4124', '4138', '4126', '4131', '4125', '4133', '4137');
  src__mac: ;
  eth_src: 02:CE:C2:43:DF:EF, 02:C8:F3:63:65:2D, 02:D6:68:80:73:3F, 02:79:FF:96:1C:AB, 02:90:E7:10:1E:81, 02:31:57:6C:0D:A7, 02:DC:6A:29:D5:91, 02:D6:17:EF:A5:D1, 02:BA:75:E3:32:C7, 02:B4:A8:D2:43:2F;
  dst__mac: ;
  protocol: SSH, HTTP, DNS, TLS;
  dst__ip: ;
  src__port: ('',);
  src__ip: ;",New Ethernet Address as Source,"4135,4121,4122,4124,4138,4126,4131,4125,4133,4137",,,,,,"0fb8a0c8-4fa8-4b93-b906-4e1f93be77f4, 1372b035-70a2-48eb-a20f-91c170158cac, 03085d02-941b-4854-9c09-ad6ced138369, 1817767a-a285-4d7e-8302-deb06b22d673, 07852700-1db8-4734-88e4-fb092828c1c6, 94719d1f-bfe5-4913-b8f1-544f18d6f6de, 165c0848-7f94-4cef-a4b1-def475b8e285, 69e8fd75-f79b-4d4f-8f43-2a76c139d317, 02946855-e642-469f-96b5-f1f6f1e6f4ce, 400540c2-3759-4916-a2bc-fa2b00711f43",
Low,37465,2025-03-28T15:12:57Z,Communication,Configuration,Detected 24 NewDestEth between 2025-03-28T15:09:50.746Z and 2025-03-28T15:12:57.369Z,"Sample NewDestEth values include:
  dst__port: ('',);
  midpointId: 4d06bebb-d788-430a-a723-e06a652f5854, c1a36162-4109-4ff6-8876-83a226e3d512, 2c56c702-d67a-425b-909c-c2dbcfe5cbb4;
  eth_dst_asset_id: ('4135', '4121', '4122', '4124', '4138', '4126', '4131', '4125', '4133', '4137');
  uuid: 55d765f7-1244-4e78-a8b6-b55d6a5eeb13, 2fd042cc-109c-4ad5-a032-2a37fb1c8df7, 13988a76-6cb3-4574-b911-baa39ca12a47, 0610189e-037b-4001-a772-0bea8a796459, 7b67b7ea-ffee-4131-8b8c-b23dc49aa8e1, 2e3013a7-cf8d-4942-ad98-3f47c9554a4e, 7f14bb51-f0b2-492d-8823-2bd1a827c6ad, 4a83a8e9-190b-4a4c-8b7f-ddbad61d3323, 2fc1b32b-45e9-480c-89de-53cbaab8aafe, 0d005a75-09c6-4359-8351-334cb389efbd;
  src__mac: ;
  dst__mac: ;
  eth_dst: 02:CE:C2:43:DF:EF, 02:C8:F3:63:65:2D, 02:D6:68:80:73:3F, 02:90:E7:10:1E:81, 02:31:57:6C:0D:A7, 02:DC:6A:29:D5:91, 02:D6:17:EF:A5:D1, 02:BA:75:E3:32:C7, 02:B4:A8:D2:43:2F, 02:2E:36:5A:91:E3;
  protocol: TLS, HTTP_PROXY, TCP, HTTP, SSH;
  dst__ip: ;
  src__port: ('',);
  src__ip: ;",New Ethernet Address as Destination,"4135,4121,4122,4124,4138,4126,4131,4125,4133,4137",,,,,,"55d765f7-1244-4e78-a8b6-b55d6a5eeb13, 2fd042cc-109c-4ad5-a032-2a37fb1c8df7, 13988a76-6cb3-4574-b911-baa39ca12a47, 0610189e-037b-4001-a772-0bea8a796459, 7b67b7ea-ffee-4131-8b8c-b23dc49aa8e1, 2e3013a7-cf8d-4942-ad98-3f47c9554a4e, 7f14bb51-f0b2-492d-8823-2bd1a827c6ad, 4a83a8e9-190b-4a4c-8b7f-ddbad61d3323, 2fc1b32b-45e9-480c-89de-53cbaab8aafe, 0d005a75-09c6-4359-8351-334cb389efbd",
Low,37484,2025-03-28T15:03:09Z,Communication,Configuration,SSH Authentication Failure,SSH authentication failure from 10.0.242.127 to 10.0.2.30.,SSH Authentication Failure,"2896,154",,,10.0.242.127,10.0.2.30,,ff9485c4-68f5-44c8-9638-ef426cdca4b3,
Low,37824,2025-03-28T15:17:43Z,Indicator,Configuration,HTTP POST Cleartext Auth Attempt,HTTP POST Cleartext Auth Attempt,HTTP Cleartext Authentication,"2896,139",,,10.0.242.127,10.0.2.60,,Network Traffic,
Medium,37825,2025-03-28T15:17:43Z,Indicator,Configuration,HTTP POST Cleartext Auth Success,HTTP POST Cleartext Auth Success,HTTP Cleartext Authentication,"2896,139",,,10.0.2.60,10.0.242.127,,Network Traffic,
Medium,37922,2025-03-28T15:19:26Z,Indicator,Threat Behavior,SMB Executable Extension .exe,SMB Executable Extension .exe,SMB File Transfers,"48,154",,,10.0.2.30,10.0.2.11,,Network Traffic,
Medium,37923,2025-03-28T15:19:26Z,Indicator,Indicator,PsExec Service Created,PsExec Service Created,PsExec Signatures,"48,154",,,10.0.2.30,10.0.2.11,,Network Traffic,
Low,37924,2025-03-28T15:19:27Z,Indicator,Threat Behavior,SMB2 Command Shell Activity cmd.exe,SMB2 Command Shell Activity cmd.exe,SMB Windows Command Shell,"48,154",,,10.0.2.30,10.0.2.11,,Network Traffic,
