"timestamp";"$_.agent.name";"$_.rule.level";"$_.rule.description";"$_.data.win.eventdata.targetusername";"$_.full_log";"$_.data.win.system.message"
"2025-03-28T14:06:39.815+0000";"wazuh";"3";"Wazuh server started.";;"ossec: Manager started.";
"2025-03-28T14:07:47.855+0000";"wazuh";"3";"PAM: Login session opened.";;"2025-03-28T14:07:47.831757+00:00 localhost sshd[2794]: pam_unix(sshd:session): session opened for user ubuntu(uid=1000) by ubuntu(uid=0)";
"2025-03-28T14:07:47.855+0000";"wazuh";"3";"sshd: authentication success.";;"2025-03-28T14:07:47.829233+00:00 localhost sshd[2794]: Accepted publickey for ubuntu from 10.0.242.127 port 54210 ssh2: ED25519 SHA256:tF1+XPQaN143qE9VmXQmwdin2QrPEHSH0+TMWiu5US4";
"2025-03-28T14:07:49.857+0000";"wazuh";"3";"PAM: Login session opened.";;"2025-03-28T14:07:47.887192+00:00 localhost (systemd): pam_unix(systemd-user:session): session opened for user ubuntu(uid=1000) by ubuntu(uid=0)";
"2025-03-28T14:08:31.903+0000";"wazuh";"3";"PAM: Login session closed.";;"2025-03-28T14:08:30.388452+00:00 localhost sshd[2794]: pam_unix(sshd:session): session closed for user ubuntu";
"2025-03-28T14:08:41.914+0000";"wazuh";"3";"PAM: Login session closed.";;"2025-03-28T14:08:40.687655+00:00 localhost (sd-pam): pam_unix(systemd-user:session): session closed for user ubuntu";
"2025-03-28T14:10:18.014+0000";"wazuh";"3";"PAM: Login session opened.";;"2025-03-28T14:10:17.638617+00:00 localhost sshd[3007]: pam_unix(sshd:session): session opened for user ubuntu(uid=1000) by ubuntu(uid=0)";
"2025-03-28T14:10:18.014+0000";"wazuh";"3";"sshd: authentication success.";;"2025-03-28T14:10:17.636080+00:00 localhost sshd[3007]: Accepted publickey for ubuntu from 10.0.242.127 port 50346 ssh2: ED25519 SHA256:tF1+XPQaN143qE9VmXQmwdin2QrPEHSH0+TMWiu5US4";
"2025-03-28T14:10:18.014+0000";"wazuh";"3";"PAM: Login session opened.";;"2025-03-28T14:10:17.711677+00:00 localhost (systemd): pam_unix(systemd-user:session): session opened for user ubuntu(uid=1000) by ubuntu(uid=0)";
"2025-03-28T14:10:20.016+0000";"wazuh";"3";"PAM: Login session closed.";;"2025-03-28T14:10:19.922104+00:00 localhost sudo: pam_unix(sudo:session): session closed for user root";
"2025-03-28T14:10:20.016+0000";"wazuh";"3";"PAM: Login session opened.";;"2025-03-28T14:10:18.907341+00:00 localhost sudo: pam_unix(sudo:session): session opened for user root(uid=0) by ubuntu(uid=1000)";
