"timestamp","Host","severity_name","severity","description","cmdline","files_written","entities"
"2025-03-28T15:56:12.504Z","10.0.11.11","High","70","A process loaded a module that shares characteristics with a known malicious file. Review the modules loaded by the process.","""C:\Users\alice\winPEASx64.exe"" ","",
"2025-03-28T15:56:11.716Z","10.0.11.11","Informational","10","This file meets the machine learning-based on-sensor AV protection's lowest-confidence threshold for malicious files.","""C:\Users\alice\winPEASx64.exe"" ","",
"2025-03-28T15:55:57.074Z","10.0.11.11","High","70","A process loaded a module that shares characteristics with a known malicious file. Review the modules loaded by the process.","""C:\Users\alice\winPEASx64.exe"" ","",
"2025-03-28T15:55:56.049Z","10.0.11.11","Informational","10","This file meets the machine learning-based on-sensor AV protection's lowest-confidence threshold for malicious files.","""C:\Users\alice\winPEASx64.exe"" ","",
"2025-03-28T15:55:30.277Z","10.0.11.11","High","70","A process loaded a module that shares characteristics with a known malicious file. Review the modules loaded by the process.","""C:\Users\alice\winPEASx64.exe""","",
"2025-03-28T15:55:28.998Z","10.0.11.11","Informational","10","This file meets the machine learning-based on-sensor AV protection's lowest-confidence threshold for malicious files.","""C:\Users\alice\winPEASx64.exe""","",
"2025-03-28T15:52:01.775Z","10.0.11.11","High","70","A process associated with a known ransomware campaign launched. Investigate the host for signs of a ransomware attack.","""C:\Users\alice\winPEASx64.exe""","@{filename=sqlite.interop.dll; filepath=\Device\HarddiskVolume1\Users\alice\AppData\Local\Temp\Costura\27562734BD0EFF9434A8AA8BED4CA874\64; timestamp=1743177025}",
"2025-03-28T15:50:24.728Z","10.0.11.11","High","70","A process loaded a module that shares characteristics with a known malicious file. Review the modules loaded by the process.","""C:\Users\alice\winPEASx64.exe""","@{filename=sqlite.interop.dll; filepath=\Device\HarddiskVolume1\Users\alice\AppData\Local\Temp\Costura\27562734BD0EFF9434A8AA8BED4CA874\64; timestamp=1743177025}",
"2025-03-28T15:50:24.728Z","10.0.11.11","High","70","A process loaded a module that shares characteristics with a known malicious file. Review the modules loaded by the process.","""C:\Users\alice\winPEASx64.exe""","",
"2025-03-28T15:50:23.086Z","10.0.11.11","Informational","10","This file meets the machine learning-based on-sensor AV protection's lowest-confidence threshold for malicious files.","""C:\Users\alice\winPEASx64.exe""","",
"2025-03-28T15:50:23.086Z","10.0.11.11","Informational","10","This file meets the machine learning-based on-sensor AV protection's lowest-confidence threshold for malicious files.","""C:\Users\alice\winPEASx64.exe""","@{filename=sqlite.interop.dll; filepath=\Device\HarddiskVolume1\Users\alice\AppData\Local\Temp\Costura\27562734BD0EFF9434A8AA8BED4CA874\64; timestamp=1743177025}",
"2025-03-28T15:50:00Z","10.0.11.11","Informational","10","A file written to the file-system meets the File Analysis ML algorithm's lowest-confidence threshold for malware.","""C:\Windows\System32\OpenSSH\sftp-server.exe""","@{filename=winPEASx64.exe; filepath=\Device\HarddiskVolume1\Users\alice; timestamp=1743176998}",
"2025-03-28T15:42:13.308Z","10.0.11.11","High","70","A PowerShell script appears to be launching mimikatz, a password dumping utility. This is often launched as part of a PowerShell exploit kit. Decode and review the script.","c:\windows\system32\windowspowershell\v1.0\powershell.exe","",
"2025-03-28T08:30:07.049Z","10.0.11.45","High","70","A process appears to be staging data. Adversaries can migrate data to a central location prior to exfiltration. Review the accessed files and process tree.","tar czf /tmp/linux_logs.tar.gz --ignore-failed-read /root/.bash_history /home/ubuntu/.bash_history /home/admin/.bash_history /var/log /var/lib/influxdb/ /var/lib/grafana/ /opt/scadalts/mysql/server/data/ /opt/scadalts/mysql/server/mysqld.log /opt/scadalts/tomcat/server/logs/","",
"2025-03-28T08:30:06.241Z","10.0.11.60","High","70","A process appears to be staging data. Adversaries can migrate data to a central location prior to exfiltration. Review the accessed files and process tree.","tar czf /tmp/linux_logs.tar.gz --ignore-failed-read /root/.bash_history /home/ubuntu/.bash_history /home/admin/.bash_history /var/log /var/lib/influxdb/ /var/lib/grafana/ /opt/scadalts/mysql/server/data/ /opt/scadalts/mysql/server/mysqld.log /opt/scadalts/tomcat/server/logs/","",
