timestamp,host,severity,level,description,log
2025-03-28T14:53:17.382Z,suricata,low,3,TGI HUNT Suricata Alert: TGI HUNT HTTP Request to 127.0.0.1,"{""timestamp"":""2025-03-28T14:53:16.251650+0000"",""flow_id"":1259985638812299,""in_iface"":""ens5"",""event_type"":""alert"",""src_ip"":""10.0.1.30"",""src_port"":33366,""dest_ip"":""10.0.1.12"",""dest_port"":80,""proto"":""TCP"",""pkt_src"":""vxlan encapsulation"",""metadata"":{""flowbits"":[""http.dottedquadhost""]},""community_id"":""1:175rftn0DUQPceXqRQcWUn24xbQ="",""tx_id"":0,""alert"":{""action"":""allowed"",""gid"":1,""signature_id"":2610636,""rev"":1,""signature"":""TGI HUNT HTTP Request to 127.0.0.1"",""category"":""A Network Trojan was detected"",""severity"":1},""tunnel"":{""src_ip"":""10.0.1.12"",""src_port"":65464,""dest_ip"":""10.0.1.9"",""dest_port"":4789,""proto"":""UDP"",""depth"":1,""pkt_src"":""wire/pcap""},""http"":{""hostname"":""127.0.0.1"",""http_port"":8081,""url"":""/api/placeholder/1200/600"",""http_user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"",""http_content_type"":""text/html"",""http_refer"":""http://127.0.0.1:8081/"",""http_method"":""GET"",""protocol"":""HTTP/1.1"",""status"":404,""length"":1245},""app_proto"":""http"",""direction"":""to_server"",""flow"":{""pkts_toserver"":7,""pkts_toclient"":3,""bytes_toserver"":1790,""bytes_toclient"":1555,""start"":""2025-03-28T14:53:16.227827+0000"",""src_ip"":""10.0.1.30"",""dest_ip"":""10.0.1.12"",""src_port"":33366,""dest_port"":80},""capture_file"":""/var/log/suricata/nsm_data//log.pcap.1743173548"",""source"":""suricata""}"
2025-03-28T14:53:17.391Z,suricata,low,3,TGI HUNT Suricata Alert: TGI HUNT HTTP Request to 127.0.0.1,"{""timestamp"":""2025-03-28T14:53:16.826002+0000"",""flow_id"":1259985638812299,""in_iface"":""ens5"",""event_type"":""alert"",""src_ip"":""10.0.1.30"",""src_port"":33366,""dest_ip"":""10.0.1.12"",""dest_port"":80,""proto"":""TCP"",""pkt_src"":""vxlan encapsulation"",""metadata"":{""flowbits"":[""http.dottedquadhost""]},""community_id"":""1:175rftn0DUQPceXqRQcWUn24xbQ="",""tx_id"":1,""alert"":{""action"":""allowed"",""gid"":1,""signature_id"":2610636,""rev"":1,""signature"":""TGI HUNT HTTP Request to 127.0.0.1"",""category"":""A Network Trojan was detected"",""severity"":1},""tunnel"":{""src_ip"":""10.0.1.12"",""src_port"":65464,""dest_ip"":""10.0.1.9"",""dest_port"":4789,""proto"":""UDP"",""depth"":1,""pkt_src"":""wire/pcap""},""http"":{""hostname"":""127.0.0.1"",""http_port"":8081,""url"":""/"",""http_user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"",""http_method"":""GET"",""protocol"":""HTTP/1.1"",""status"":304,""length"":0},""app_proto"":""http"",""direction"":""to_server"",""flow"":{""pkts_toserver"":10,""pkts_toclient"":5,""bytes_toserver"":2791,""bytes_toclient"":3184,""start"":""2025-03-28T14:53:16.227827+0000"",""src_ip"":""10.0.1.30"",""dest_ip"":""10.0.1.12"",""src_port"":33366,""dest_port"":80},""capture_file"":""/var/log/suricata/nsm_data//log.pcap.1743173548"",""source"":""suricata""}"
2025-03-28T14:53:17.393Z,suricata,low,3,TGI HUNT Suricata Alert: TGI HUNT HTTP Request to 127.0.0.1,"{""timestamp"":""2025-03-28T14:53:16.916189+0000"",""flow_id"":1259985638812299,""in_iface"":""ens5"",""event_type"":""alert"",""src_ip"":""10.0.1.30"",""src_port"":33366,""dest_ip"":""10.0.1.12"",""dest_port"":80,""proto"":""TCP"",""pkt_src"":""vxlan encapsulation"",""metadata"":{""flowbits"":[""http.dottedquadhost""]},""community_id"":""1:175rftn0DUQPceXqRQcWUn24xbQ="",""tx_id"":2,""alert"":{""action"":""allowed"",""gid"":1,""signature_id"":2610636,""rev"":1,""signature"":""TGI HUNT HTTP Request to 127.0.0.1"",""category"":""A Network Trojan was detected"",""severity"":1},""tunnel"":{""src_ip"":""10.0.1.12"",""src_port"":65464,""dest_ip"":""10.0.1.9"",""dest_port"":4789,""proto"":""UDP"",""depth"":1,""pkt_src"":""wire/pcap""},""http"":{""hostname"":""127.0.0.1"",""http_port"":8081,""url"":""/api/placeholder/1200/600"",""http_user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"",""http_content_type"":""text/html"",""http_refer"":""http://127.0.0.1:8081/styles.css"",""http_method"":""GET"",""protocol"":""HTTP/1.1"",""status"":404,""length"":1245},""app_proto"":""http"",""direction"":""to_server"",""flow"":{""pkts_toserver"":15,""pkts_toclient"":7,""bytes_toserver"":5326,""bytes_toclient"":4813,""start"":""2025-03-28T14:53:16.227827+0000"",""src_ip"":""10.0.1.30"",""dest_ip"":""10.0.1.12"",""src_port"":33366,""dest_port"":80},""capture_file"":""/var/log/suricata/nsm_data//log.pcap.1743173548"",""source"":""suricata""}"
2025-03-28T14:53:17.397Z,suricata,low,3,TGI HUNT Suricata Alert: TGI HUNT HTTP Request to 127.0.0.1,"{""timestamp"":""2025-03-28T14:53:16.999990+0000"",""flow_id"":1259985638812299,""in_iface"":""ens5"",""event_type"":""alert"",""src_ip"":""10.0.1.30"",""src_port"":33366,""dest_ip"":""10.0.1.12"",""dest_port"":80,""proto"":""TCP"",""pkt_src"":""vxlan encapsulation"",""metadata"":{""flowbits"":[""http.dottedquadhost""]},""community_id"":""1:175rftn0DUQPceXqRQcWUn24xbQ="",""tx_id"":3,""alert"":{""action"":""allowed"",""gid"":1,""signature_id"":2610636,""rev"":1,""signature"":""TGI HUNT HTTP Request to 127.0.0.1"",""category"":""A Network Trojan was detected"",""severity"":1},""tunnel"":{""src_ip"":""10.0.1.12"",""src_port"":65464,""dest_ip"":""10.0.1.9"",""dest_port"":4789,""proto"":""UDP"",""depth"":1,""pkt_src"":""wire/pcap""},""http"":{""hostname"":""127.0.0.1"",""http_port"":8081,""url"":""/api/placeholder/1200/600"",""http_user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"",""http_content_type"":""text/html"",""http_refer"":""http://127.0.0.1:8081/"",""http_method"":""GET"",""protocol"":""HTTP/1.1"",""status"":404,""length"":1245},""app_proto"":""http"",""direction"":""to_server"",""flow"":{""pkts_toserver"":19,""pkts_toclient"":10,""bytes_toserver"":6944,""bytes_toclient"":9118,""start"":""2025-03-28T14:53:16.227827+0000"",""src_ip"":""10.0.1.30"",""dest_ip"":""10.0.1.12"",""src_port"":33366,""dest_port"":80},""capture_file"":""/var/log/suricata/nsm_data//log.pcap.1743173548"",""source"":""suricata""}"
2025-03-28T14:53:19.384Z,suricata,low,3,TGI HUNT Suricata Alert: TGI HUNT HTTP Request to 127.0.0.1,"{""timestamp"":""2025-03-28T14:53:18.745120+0000"",""flow_id"":1259985638812299,""in_iface"":""ens5"",""event_type"":""alert"",""src_ip"":""10.0.1.30"",""src_port"":33366,""dest_ip"":""10.0.1.12"",""dest_port"":80,""proto"":""TCP"",""pkt_src"":""vxlan encapsulation"",""metadata"":{""flowbits"":[""http.dottedquadhost""]},""community_id"":""1:175rftn0DUQPceXqRQcWUn24xbQ="",""tx_id"":4,""alert"":{""action"":""allowed"",""gid"":1,""signature_id"":2610636,""rev"":1,""signature"":""TGI HUNT HTTP Request to 127.0.0.1"",""category"":""A Network Trojan was detected"",""severity"":1},""tunnel"":{""src_ip"":""10.0.1.12"",""src_port"":65464,""dest_ip"":""10.0.1.9"",""dest_port"":4789,""proto"":""UDP"",""depth"":1,""pkt_src"":""wire/pcap""},""http"":{""hostname"":""127.0.0.1"",""http_port"":8081,""url"":""/api/placeholder/1200/600"",""http_user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"",""http_content_type"":""text/html"",""http_refer"":""http://127.0.0.1:8081/"",""http_method"":""GET"",""protocol"":""HTTP/1.1"",""status"":404,""length"":1245},""app_proto"":""http"",""direction"":""to_server"",""flow"":{""pkts_toserver"":22,""pkts_toclient"":11,""bytes_toserver"":7805,""bytes_toclient"":10553,""start"":""2025-03-28T14:53:16.227827+0000"",""src_ip"":""10.0.1.30"",""dest_ip"":""10.0.1.12"",""src_port"":33366,""dest_port"":80},""capture_file"":""/var/log/suricata/nsm_data//log.pcap.1743173548"",""source"":""suricata""}"
2025-03-28T14:53:21.390Z,suricata,low,3,TGI HUNT Suricata Alert: TGI HUNT HTTP Request to 127.0.0.1,"{""timestamp"":""2025-03-28T14:53:21.000958+0000"",""flow_id"":1259985638812299,""in_iface"":""ens5"",""event_type"":""alert"",""src_ip"":""10.0.1.30"",""src_port"":33366,""dest_ip"":""10.0.1.12"",""dest_port"":80,""proto"":""TCP"",""pkt_src"":""vxlan encapsulation"",""metadata"":{""flowbits"":[""http.dottedquadhost""]},""community_id"":""1:175rftn0DUQPceXqRQcWUn24xbQ="",""tx_id"":5,""alert"":{""action"":""allowed"",""gid"":1,""signature_id"":2610636,""rev"":1,""signature"":""TGI HUNT HTTP Request to 127.0.0.1"",""category"":""A Network Trojan was detected"",""severity"":1},""tunnel"":{""src_ip"":""10.0.1.12"",""src_port"":65464,""dest_ip"":""10.0.1.9"",""dest_port"":4789,""proto"":""UDP"",""depth"":1,""pkt_src"":""wire/pcap""},""http"":{""hostname"":""127.0.0.1"",""http_port"":8081,""url"":""/"",""http_user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"",""http_content_type"":""text/html"",""http_method"":""GET"",""protocol"":""HTTP/1.1"",""status"":200,""length"":1176},""app_proto"":""http"",""direction"":""to_server"",""flow"":{""pkts_toserver"":27,""pkts_toclient"":14,""bytes_toserver"":10324,""bytes_toclient"":14788,""start"":""2025-03-28T14:53:16.227827+0000"",""src_ip"":""10.0.1.30"",""dest_ip"":""10.0.1.12"",""src_port"":33366,""dest_port"":80},""capture_file"":""/var/log/suricata/nsm_data//log.pcap.1743173548"",""source"":""suricata""}"
2025-03-28T14:53:21.393Z,suricata,low,3,TGI HUNT Suricata Alert: TGI HUNT HTTP Request to 127.0.0.1,"{""timestamp"":""2025-03-28T14:53:21.043386+0000"",""flow_id"":1259985638812299,""in_iface"":""ens5"",""event_type"":""alert"",""src_ip"":""10.0.1.30"",""src_port"":33366,""dest_ip"":""10.0.1.12"",""dest_port"":80,""proto"":""TCP"",""pkt_src"":""vxlan encapsulation"",""metadata"":{""flowbits"":[""http.dottedquadhost""]},""community_id"":""1:175rftn0DUQPceXqRQcWUn24xbQ="",""tx_id"":6,""alert"":{""action"":""allowed"",""gid"":1,""signature_id"":2610636,""rev"":1,""signature"":""TGI HUNT HTTP Request to 127.0.0.1"",""category"":""A Network Trojan was detected"",""severity"":1},""tunnel"":{""src_ip"":""10.0.1.12"",""src_port"":65464,""dest_ip"":""10.0.1.9"",""dest_port"":4789,""proto"":""UDP"",""depth"":1,""pkt_src"":""wire/pcap""},""http"":{""hostname"":""127.0.0.1"",""http_port"":8081,""url"":""/styles.css"",""http_user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"",""http_content_type"":""text/css"",""http_refer"":""http://127.0.0.1:8081/"",""http_method"":""GET"",""protocol"":""HTTP/1.1"",""status"":200,""length"":1224},""app_proto"":""http"",""direction"":""to_server"",""flow"":{""pkts_toserver"":32,""pkts_toclient"":22,""bytes_toserver"":11272,""bytes_toclient"":26407,""start"":""2025-03-28T14:53:16.227827+0000"",""src_ip"":""10.0.1.30"",""dest_ip"":""10.0.1.12"",""src_port"":33366,""dest_port"":80},""capture_file"":""/var/log/suricata/nsm_data//log.pcap.1743173548"",""source"":""suricata""}"
2025-03-28T14:53:21.397Z,suricata,low,3,TGI HUNT Suricata Alert: TGI HUNT HTTP Request to 127.0.0.1,"{""timestamp"":""2025-03-28T14:53:21.086090+0000"",""flow_id"":1259985638812299,""in_iface"":""ens5"",""event_type"":""alert"",""src_ip"":""10.0.1.30"",""src_port"":33366,""dest_ip"":""10.0.1.12"",""dest_port"":80,""proto"":""TCP"",""pkt_src"":""vxlan encapsulation"",""metadata"":{""flowbits"":[""http.dottedquadhost""]},""community_id"":""1:175rftn0DUQPceXqRQcWUn24xbQ="",""tx_id"":7,""alert"":{""action"":""allowed"",""gid"":1,""signature_id"":2610636,""rev"":1,""signature"":""TGI HUNT HTTP Request to 127.0.0.1"",""category"":""A Network Trojan was detected"",""severity"":1},""tunnel"":{""src_ip"":""10.0.1.30"",""src_port"":65476,""dest_ip"":""10.0.1.9"",""dest_port"":4789,""proto"":""UDP"",""depth"":1,""pkt_src"":""wire/pcap""},""http"":{""hostname"":""127.0.0.1"",""http_port"":8081,""url"":""/images/facility-5.jpg"",""http_user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"",""http_content_type"":""image/jpeg"",""http_refer"":""http://127.0.0.1:8081/"",""http_method"":""GET"",""protocol"":""HTTP/1.1"",""status"":200,""length"":5564},""app_proto"":""http"",""direction"":""to_server"",""flow"":{""pkts_toserver"":41,""pkts_toclient"":35,""bytes_toserver"":13918,""bytes_toclient"":44278,""start"":""2025-03-28T14:53:16.227827+0000"",""src_ip"":""10.0.1.30"",""dest_ip"":""10.0.1.12"",""src_port"":33366,""dest_port"":80},""source"":""suricata""}"
2025-03-28T14:53:21.398Z,suricata,low,3,TGI HUNT Suricata Alert: TGI HUNT HTTP Request to 127.0.0.1,"{""timestamp"":""2025-03-28T14:53:21.086310+0000"",""flow_id"":458152323746299,""in_iface"":""ens5"",""event_type"":""alert"",""src_ip"":""10.0.1.30"",""src_port"":38750,""dest_ip"":""10.0.1.12"",""dest_port"":80,""proto"":""TCP"",""pkt_src"":""vxlan encapsulation"",""metadata"":{""flowbits"":[""http.dottedquadhost""]},""community_id"":""1:brXOwkyOMBfn60u6rp2uZJOkBIk="",""tx_id"":0,""alert"":{""action"":""allowed"",""gid"":1,""signature_id"":2610636,""rev"":1,""signature"":""TGI HUNT HTTP Request to 127.0.0.1"",""category"":""A Network Trojan was detected"",""severity"":1},""tunnel"":{""src_ip"":""10.0.1.12"",""src_port"":65474,""dest_ip"":""10.0.1.9"",""dest_port"":4789,""proto"":""UDP"",""depth"":1,""pkt_src"":""wire/pcap""},""http"":{""hostname"":""127.0.0.1"",""http_port"":8081,""url"":""/images/plumetech-logo.png"",""http_user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"",""http_content_type"":""image/png"",""http_refer"":""http://127.0.0.1:8081/"",""http_method"":""GET"",""protocol"":""HTTP/1.1"",""status"":200,""length"":2670},""app_proto"":""http"",""direction"":""to_server"",""flow"":{""pkts_toserver"":7,""pkts_toclient"":12,""bytes_toserver"":1878,""bytes_toclient"":13664,""start"":""2025-03-28T14:53:21.041135+0000"",""src_ip"":""10.0.1.30"",""dest_ip"":""10.0.1.12"",""src_port"":38750,""dest_port"":80},""capture_file"":""/var/log/suricata/nsm_data//log.pcap.1743173548"",""source"":""suricata""}"
2025-03-28T14:53:21.400Z,suricata,low,3,TGI HUNT Suricata Alert: TGI HUNT HTTP Request to 127.0.0.1,"{""timestamp"":""2025-03-28T14:53:21.089279+0000"",""flow_id"":452789698868027,""in_iface"":""ens5"",""event_type"":""alert"",""src_ip"":""10.0.1.30"",""src_port"":38760,""dest_ip"":""10.0.1.12"",""dest_port"":80,""proto"":""TCP"",""pkt_src"":""vxlan encapsulation"",""metadata"":{""flowbits"":[""http.dottedquadhost""]},""community_id"":""1:DR3sG4fN9vTYYjhsKzyRODLafJQ="",""tx_id"":0,""alert"":{""action"":""allowed"",""gid"":1,""signature_id"":2610636,""rev"":1,""signature"":""TGI HUNT HTTP Request to 127.0.0.1"",""category"":""A Network Trojan was detected"",""severity"":1},""tunnel"":{""src_ip"":""10.0.1.12"",""src_port"":65468,""dest_ip"":""10.0.1.9"",""dest_port"":4789,""proto"":""UDP"",""depth"":1,""pkt_src"":""wire/pcap""},""http"":{""hostname"":""127.0.0.1"",""http_port"":8081,""url"":""/images/facility-1.jpg"",""http_user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"",""http_content_type"":""image/jpeg"",""http_refer"":""http://127.0.0.1:8081/"",""http_method"":""GET"",""protocol"":""HTTP/1.1"",""status"":200,""length"":1221},""app_proto"":""http"",""direction"":""to_server"",""flow"":{""pkts_toserver"":7,""pkts_toclient"":11,""bytes_toserver"":1870,""bytes_toclient"":12164,""start"":""2025-03-28T14:53:21.039887+0000"",""src_ip"":""10.0.1.30"",""dest_ip"":""10.0.1.12"",""src_port"":38760,""dest_port"":80},""source"":""suricata""}"
2025-03-28T14:53:21.402Z,suricata,low,3,TGI HUNT Suricata Alert: TGI HUNT HTTP Request to 127.0.0.1,"{""timestamp"":""2025-03-28T14:53:21.090228+0000"",""flow_id"":478667789623462,""in_iface"":""ens5"",""event_type"":""alert"",""src_ip"":""10.0.1.30"",""src_port"":38772,""dest_ip"":""10.0.1.12"",""dest_port"":80,""proto"":""TCP"",""pkt_src"":""vxlan encapsulation"",""metadata"":{""flowbits"":[""http.dottedquadhost""]},""community_id"":""1:lbyibB59SLOlUS02KFTeK+/VIAs="",""tx_id"":0,""alert"":{""action"":""allowed"",""gid"":1,""signature_id"":2610636,""rev"":1,""signature"":""TGI HUNT HTTP Request to 127.0.0.1"",""category"":""A Network Trojan was detected"",""severity"":1},""tunnel"":{""src_ip"":""10.0.1.30"",""src_port"":65513,""dest_ip"":""10.0.1.9"",""dest_port"":4789,""proto"":""UDP"",""depth"":1,""pkt_src"":""wire/pcap""},""http"":{""hostname"":""127.0.0.1"",""http_port"":8081,""url"":""/images/facility-2.jpg"",""http_user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"",""http_content_type"":""image/jpeg"",""http_refer"":""http://127.0.0.1:8081/"",""http_method"":""GET"",""protocol"":""HTTP/1.1"",""status"":200,""length"":2670},""app_proto"":""http"",""direction"":""to_server"",""flow"":{""pkts_toserver"":7,""pkts_toclient"":5,""bytes_toserver"":1870,""bytes_toclient"":4620,""start"":""2025-03-28T14:53:21.045912+0000"",""src_ip"":""10.0.1.30"",""dest_ip"":""10.0.1.12"",""src_port"":38772,""dest_port"":80},""capture_file"":""/var/log/suricata/nsm_data//log.pcap.1743173548"",""source"":""suricata""}"
