timestamp,host,severity,level,description,log
2025-03-28T08:27:06.660Z,CLI1,low,5,Registry Key Integrity Checksum Changed,"Registry Key '[x32] HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Tcpip\Parameters\Interfaces\{efdcc438-1368-4889-b23e-1841c6d0bdb5}' modified
Mode: scheduled
Changed attributes: mtime
Old modification time was: '1743146806', now it is '1743150406'
"
2025-03-28T08:27:06.688Z,CLI1,low,5,Registry Value Integrity Checksum Changed,"Registry Value '[x32] HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Tcpip\Parameters\Interfaces\{efdcc438-1368-4889-b23e-1841c6d0bdb5}\LeaseObtainedTime' modified
Mode: scheduled
Changed attributes: md5,sha1,sha256
Old md5sum was: '2c3c75f692a8c0976f5d207df0c6a778'
New md5sum is : '70b193c6f50fc87dd8ba4fb2ad4c49a8'
Old sha1sum was: 'b634d0a4119235384cb57a5c3a1727aa94e6bed1'
New sha1sum is : 'e5021d9e32115ac06c8de65731cc37bd623d5bd6'
Old sha256sum was: '9712586b209659865f1fa9cc364d47e8f4db3f1f3b0159b41ceec635600537f3'
New sha256sum is : '3263f37cb6b9972c1fd35bd99aefba169b65698c8e3b95a9bd7d4f9e3a2ed7ec'
"
2025-03-28T08:27:06.688Z,CLI1,low,5,Registry Value Integrity Checksum Changed,"Registry Value '[x32] HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Tcpip\Parameters\Interfaces\{efdcc438-1368-4889-b23e-1841c6d0bdb5}\T2' modified
Mode: scheduled
Changed attributes: md5,sha1,sha256
Old md5sum was: '40b98cea0981a63c07178a836d01dd9c'
New md5sum is : 'e47b2e22c659df7211a3791f022d5dd9'
Old sha1sum was: '98d77f07c62f299c69a13ae68459d714531f061b'
New sha1sum is : '65509f2e37a024910677b0b905f8dcfc64e6ae30'
Old sha256sum was: '3f840731b02290256b5c19c0c2ee264f56421f55eb9608b65ad12b67f72d292b'
New sha256sum is : '5524f1888246655993c4c8ade1baa0c0f14ca7cb480e50366dbd34d20e52686c'
"
2025-03-28T08:27:06.688Z,CLI1,low,5,Registry Value Integrity Checksum Changed,"Registry Value '[x32] HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Tcpip\Parameters\Interfaces\{efdcc438-1368-4889-b23e-1841c6d0bdb5}\T1' modified
Mode: scheduled
Changed attributes: md5,sha1,sha256
Old md5sum was: '00ff66728daf6187110e8ecb6f1b76e9'
New md5sum is : 'e77be5ecb91832ff688df66f52f537c3'
Old sha1sum was: '911a007cb952be113c158261d592b28b68a5f26a'
New sha1sum is : 'c181a63aa780179dc6b63c999ae2d8ffaa2ddadc'
Old sha256sum was: '1ea5aafebcd5c748403a281a2b1a1e356e0b2d52027b149124eddf6e76a04eea'
New sha256sum is : '5fa36f370edad31288b56d6d81f484a5f1c86dcdca74a3df329d3e5c9c25b46b'
"
2025-03-28T08:27:06.703Z,CLI1,low,5,Registry Value Integrity Checksum Changed,"Registry Value '[x32] HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Tcpip\Parameters\Interfaces\{efdcc438-1368-4889-b23e-1841c6d0bdb5}\LeaseTerminatesTime' modified
Mode: scheduled
Changed attributes: md5,sha1,sha256
Old md5sum was: '70b193c6f50fc87dd8ba4fb2ad4c49a8'
New md5sum is : '9605e3bb0603a6e3af31b80c652b6fc8'
Old sha1sum was: 'e5021d9e32115ac06c8de65731cc37bd623d5bd6'
New sha1sum is : '144686393ddb6c4b7566d892b3a544ff30d92507'
Old sha256sum was: '3263f37cb6b9972c1fd35bd99aefba169b65698c8e3b95a9bd7d4f9e3a2ed7ec'
New sha256sum is : '777ec6d40f1c884ff3748a3cc8d7ae5a9d24e20c70386ebd1f31e209ab044367'
"
2025-03-28T08:27:06.706Z,DC1,low,3,Windows Logon Success,"""An account was successfully logged on.

Subject:
	Security ID:		S-1-0-0
	Account Name:		-
	Account Domain:		-
	Logon ID:		0x0

Logon Information:
	Logon Type:		3
	Restricted Admin Mode:	-
	Virtual Account:		No
	Elevated Token:		Yes

Impersonation Level:		Impersonation

New Logon:
	Security ID:		S-1-5-18
	Account Name:		DC1$
	Account Domain:		PLUMETECH.LOCAL
	Logon ID:		0x1321D4C
	Linked Logon ID:		0x0
	Network Account Name:	-
	Network Account Domain:	-
	Logon GUID:		{135076b4-c946-31b9-05a5-29a4c0549096}

Process Information:
	Process ID:		0x0
	Process Name:		-

Network Information:
	Workstation Name:	-
	Source Network Address:	::1
	Source Port:		60906

Detailed Authentication Information:
	Logon Process:		Kerberos
	Authentication Package:	Kerberos
	Transited Services:	-
	Package Name (NTLM only):	-
	Key Length:		0

This event is generated when a logon session is created. It is generated on the computer that was accessed.

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.

The impersonation level field indicates the extent to which a process in the logon session can impersonate.

The authentication information fields provide detailed information about this specific logon request.
	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event.
	- Transited services indicate which intermediate services have participated in this logon request.
	- Package name indicates which sub-protocol was used among the NTLM protocols.
	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested."""
2025-03-28T08:27:06.745Z,CLI1,low,5,Registry Value Integrity Checksum Changed,"Registry Value '[x32] HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Tcpip\Parameters\Interfaces\{efdcc438-1368-4889-b23e-1841c6d0bdb5}\DhcpInterfaceOptions' modified
Mode: scheduled
Changed attributes: md5,sha1,sha256
Old md5sum was: '80a60bd1021d1c0c378d617940301659'
New md5sum is : 'b41af9611175736f7b16b2a792f22b80'
Old sha1sum was: '8dc944c59bd1aa707c76ef27b1e3c5f789fde872'
New sha1sum is : 'cb4d72a53c263fa9a053c44651b2dc25123909f2'
Old sha256sum was: 'a35f2a46fc1725e87d99ba6a390f99fd37656842b3e0c87e2eeac013866785b8'
New sha256sum is : '72de72d4e9ec7f3f652226bea15c015de9f6fb2afc92b639368fd311c9e2ff1e'
"
2025-03-28T08:27:10.129Z,CLI1,low,5,Registry Key Integrity Checksum Changed,"Registry Key '[x32] HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\SecureTimeLimits\RunTime' modified
Mode: scheduled
Changed attributes: mtime
Group ownership was 'S-1-5-32-544', now it is 'S-1-5-18'
Old modification time was: '1743147434', now it is '1743149234'
"
2025-03-28T08:27:10.163Z,CLI1,low,5,Registry Value Integrity Checksum Changed,"Registry Value '[x32] HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\SecureTimeLimits\RunTime\SecureTimeTickCount' modified
Mode: scheduled
Changed attributes: md5,sha1,sha256
Old md5sum was: '9273fd33c865133c535697a4339ccbba'
New md5sum is : 'bc2c8ea4ba5c466214d0ab8780610cc3'
Old sha1sum was: '8e67c61d4a894f4e4ff883a0f330dc8e8b17a752'
New sha1sum is : 'a97d21381215fa05a1123ab4414095a28b969d88'
Old sha256sum was: 'c34453719274d589611d705ffe42e96d1c3d7185422529b53c22a0948419d81d'
New sha256sum is : 'b64f35fe638b2a660d91ff9a58ca8d721ac185ec5c3a73f26bb595d554d49646'
"
2025-03-28T08:27:10.163Z,CLI1,low,5,Registry Value Integrity Checksum Changed,"Registry Value '[x32] HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\SecureTimeLimits\SecureTimeEstimated' modified
Mode: scheduled
Changed attributes: md5,sha1,sha256
Old md5sum was: '00f602a9982c5e881ca462f2c71f0b13'
New md5sum is : '9de2465c90cdc28837aeee7c6366eaea'
Old sha1sum was: '1ed379d4eeabe0e3c6e7abfaca2e14280e7cba55'
New sha1sum is : '900838eeaf3330a1a9f049d33433aeb40c4f3d36'
Old sha256sum was: '23463860d4fb2ca542125b5bd95eddd8cf5c8a3f59550d26ac7a5ca206d11ee0'
New sha256sum is : '74f4585d804731d8f45a8e0ff29fd74aead0521f192995878a71cf2cb014a5ff'
"
